,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
0,1,1448206337545019397,1448206337545019397,1634114271000.0,2021-10-13 10:37:51,+0200,,"@netflix, i’m demanding a sixth season of @blackmirror",en,[],[],252156240,252156240,sandysalamaf,Sando says,3,10,https://twitter.com/sandysalamaf/status/1448206337545019397,[],[],0,,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,i m demanding a sixth season of,Neutral
1,4,1448187021676191744,1448187021676191744,1634109666000.0,2021-10-13 09:21:06,+0200,,Dutch Government (2e Kamer) enables introduction of China’s Social Credit System in The Netherlands with a big YES from @vvd @d66 @cdavandaag @christenunie   Democracy is dying here #QRsamenleving   Soon NETFLIX: Blackmirror S3E1 “Nosedive”?  @mariannezw @BartMaes16 @wmiddelkoop  https://t.co/pqhEoeWJWo,en,['qrsamenleving'],[],1308404630964113408,1308404630964113408,Bee072M,MBee072,3,09,https://twitter.com/Bee072M/status/1448187021676191744,[],"['https://pbs.twimg.com/media/FBj-a1FWYAEbAmL.jpg', 'https://pbs.twimg.com/media/FBj-a1eWUAMXEYF.jpg']",1,https://pbs.twimg.com/media/FBj-a1FWYAEbAmL.jpg,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,Dutch Government 2e Kamer enables introduction of China s Social Credit System in The Netherlands with a big YES from Democracy is dying here QRsamenleving Soon NETFLIX Blackmirror S3E1 Nosedive,Positive
2,6,1448122106181562379,1447498531766427654,1634094189000.0,2021-10-13 05:03:09,+0200,,@Nick_Marseil First of all I love God of War. Secondly based on your criteria you’re looking for interactive movies. Might I suggest Black Mirror on Netflix? Games cover a broad spectrum. Hollow Knight is $15 and it’s better value than both of these games. Well worth $60 were that the price.,en,[],[],1307163748751339521,1307163748751339521,NickChase2,Punished Nick,3,05,https://twitter.com/NickChase2/status/1448122106181562379,[],[],0,,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,"[{'screen_name': 'Nick_Marseil', 'name': '🔸️ Nicola 🔸️', 'id': '430958876'}]",,,,,Marseil First of all I love God of War Secondly based on your criteria you re looking for interactive movies Might I suggest Black Mirror on Netflix Games cover a broad spectrum Hollow Knight is 15 and it s better value than both of these games Well worth 60 were that the price,Positive
3,7,1448113415092723723,1448113415092723723,1634092117000.0,2021-10-13 04:28:37,+0200,,Can't believe this show gets a new season and #BlackMirror haven't got a new season since 2019🤦🏾‍♂️. What you doing @netflix ?  https://t.co/Jn1q3WAjt5,en,['blackmirror'],[],1192008364097540096,1192008364097540096,vienning68,vienning,3,04,https://twitter.com/vienning68/status/1448113415092723723,[],['https://pbs.twimg.com/media/FBi7ePcUcAYQt-u.jpg'],1,https://pbs.twimg.com/media/FBi7ePcUcAYQt-u.jpg,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,Can t believe this show gets a new season and BlackMirror haven t got a new season since 2019 What you doing,Positive
4,8,1448087872515547139,1447980938831351810,1634086027000.0,2021-10-13 02:47:07,+0200,,@UberFacts Black mirror @netflix,en,[],[],15622605,15622605,Ameen_media,AMEEN 🇱🇧 🇺🇸,3,02,https://twitter.com/Ameen_media/status/1448087872515547139,[],[],0,,False,2,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,"[{'screen_name': 'UberFacts', 'name': 'UberFacts', 'id': '95023423'}]",,,,,Black mirror,Negative
5,10,1448078357204279304,1447989535632207872,1634083759000.0,2021-10-13 02:09:19,+0200,,"@Fawst @RawbertBeef Black Mirror Bandersnatch on Netflix, it’s a choose your own adventurer story, I think you need to get him to understand that everything is just a simulation to make him commit suicide.",en,[],[],1202396236399218688,1202396236399218688,forgetfullotter,forgetfullotte,3,02,https://twitter.com/forgetfullotter/status/1448078357204279304,[],[],0,,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,"[{'screen_name': 'Fawst', 'name': 'Brendan Ward', 'id': '67345078'}, {'screen_name': 'RawbertBeef', 'name': 'Kasey Is Spooky ❓🕷 ❓❓', 'id': '1099145939107880961'}]",,,,,Black Mirror Bandersnatch on Netflix it s a choose your own adventurer story I think you need to get him to understand that everything is just a simulation to make him commit suicide,Positive
6,11,1448051840185028613,1448051840185028613,1634077436000.0,2021-10-13 00:23:56,+0200,,Check out this listing I just added to my #Poshmark closet: Netflix Black Mirror Tie Dye Hoodie Sz XL.  https://t.co/H4h7aMcvF8 #shopmycloset @poshmarkapp,en,"['poshmark', 'shopmycloset']",[],709466488189558784,709466488189558784,EvelyDaunique26,Evelyn Paola,3,00,https://twitter.com/EvelyDaunique26/status/1448051840185028613,['https://poshmark.com/listing/61660abd2e8e44d0d5aa555d?utm_campaign=referral_code%3DLEOBOOP&utm_source=tw_sh&utm_content=ext_trk%3Dbranch%26feature%3Dsh_li_cl_ios%26campaign%3D%7B%3Aevent%3D%3E%3Ajoin%2C+%3Amax_uses%3D%3E-1%2C+%3Areferrer_incentive_amounts%3D%3E%7B%3Aus%3D%3E%23%3CMoney+fractional%3A0+currency%3AUSD%3E%2C+%3Aca%3D%3E%23%3CMoney+fractional%3A0+currency%3ACAD%3E%2C+%3Aau%3D%3E%23%3CMoney+fractional%3A0+currency%3AAUD%3E%2C+%3Ain%3D%3E%23%3CMoney+fractional%3A0+currency%3AINR%3E%7D%2C+%3Areferred_incentive_amounts%3D%3E%7B%3Aus%3D%3E%23%3CMoney+fractional%3A1000+currency%3AUSD%3E%2C+%3Aca%3D%3E%23%3CMoney+fractional%3A1500+currency%3ACAD%3E%2C+%3Aau%3D%3E%23%3CMoney+fractional%3A1000+currency%3AAUD%3E%2C+%3Ain%3D%3E%23%3CMoney+fractional%3A25000+currency%3AINR%3E%7D%2C+%3Acreated_at%3D%3E2021-08-18+22%3A09%3A18+-0700%7D%26rfuid%3Dext1%3A9ce7623e-792c-4f19-b589-e74aecbbe176'],[],0,,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,Check out this listing I just added to my Poshmark closet Netflix Black Mirror Tie Dye Hoodie Sz XL shopmycloset,Negative
7,12,1448051420792459268,1447996521098747904,1634077336000.0,2021-10-13 00:22:16,+0200,,"@WayneORourke4 @Rustybe96849965 The Black Mirror season 3 episode ""Nosedive"" on Netflix is an excellent dramatization of what a social credit system could look like in Western Europe, America and Canada if government takes over control of social media.  https://t.co/i6mUO5MJYR",en,[],[],17855637,17855637,sportsfan_ian,sports fan,3,00,https://twitter.com/sportsfan_ian/status/1448051420792459268,['https://www.youtube.com/watch?v=5HQ4Dh0noIk'],[],0,,False,16,0,3,,"['Black', 'Mirror', 'Netflix']",,,,,,,"[{'screen_name': 'WayneORourke4', 'name': 'Dont believe the truth 🇬🇧🇬🇧🇬🇧', 'id': '1381592521151803393'}, {'screen_name': 'Rustybe96849965', 'name': 'Rusty bear', 'id': '1407088860148998144'}]",,,,,The Black Mirror season 3 episode Nosedive on Netflix is an excellent dramatization of what a social credit system could look like in Western Europe America and Canada if government takes over control of social media,Positive
8,13,1448044315670892552,1448044315670892552,1634075642000.0,2021-10-12 23:54:02,+0200,,"Dear @netflix, can you please put seasons in the correct order? It was cute with black mirror but with other shows it's irritating.",en,[],[],104835717,104835717,error217,Something's Wrong Here,2,23,https://twitter.com/error217/status/1448044315670892552,[],[],0,,False,0,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,Dear can you please put seasons in the correct order It was cute with black mirror but with other shows it s irritating,Negative
9,15,1448015836443201542,1448015836443201542,1634068852000.0,2021-10-12 22:00:52,+0200,,Idk who needs to hear this but watch black mirror on Netflix if you not already hip …I rewatched it after watching it years ago .. fucking 🔥🔥🔥🔥🔥,en,[],[],185533466,185533466,__Reckkk,🤴🏾KING 😈💦🔥,2,22,https://twitter.com/__Reckkk/status/1448015836443201542,[],[],0,,False,1,0,0,,"['Black', 'Mirror', 'Netflix']",,,,,,,[],,,,,Idk who needs to hear this but watch black mirror on Netflix if you not already hip I rewatched it after watching it years ago fucking,Negative
