,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
0,0,1448246949497294855,1448233975592357889,1634123954000.0,2021-10-13 13:19:14,+0200,,@SaniaAhmad1111 This is all a conspiracy by Netflix so they can make a Narcos: Mumbai,en,[],[],101829418,101829418,ani_lostnfound,Anirban Sarkar,3,13,https://twitter.com/ani_lostnfound/status/1448246949497294855,[],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': 'SaniaAhmad1111', 'name': 'Sania Ahmad', 'id': '711783223366262788'}]",,,,,This is all a conspiracy by Netflix so they can make a Narcos Mumbai,Neutral
1,1,1448241181008203780,1448003620100788228,1634122579000.0,2021-10-13 12:56:19,+0200,,"@777mols I’m mainly into thriller, slow burn and drama shows so shows like Ozark, suits, peaky blinders, narcos, breaking bad and better call Saul are my favourites. The only comedy show I really watch on Netflix is the office, that show is too funny",en,[],[],1263423901712998401,1263423901712998401,JulianKabambe,JUJU J⛷,3,12,https://twitter.com/JulianKabambe/status/1448241181008203780,[],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': '777mols', 'name': 'mols', 'id': '821403121725403136'}]",,,,,I m mainly into thriller slow burn and drama shows so shows like Ozark suits peaky blinders narcos breaking bad and better call Saul are my favourites The only comedy show I really watch on Netflix is the office that show is too funny,Positive
2,4,1448234566775447554,1448234566775447554,1634121002000.0,2021-10-13 12:30:02,+0200,,Narcos: Mexico | Season 3 Trailer | Netflix  https://t.co/Vo0chbTA2t #cinema #movies #series #trailer,en,"['cinema', 'movies', 'series', 'trailer']",[],1295304913619165184,1295304913619165184,MyVideoClubfr,MyVideoClub,3,12,https://twitter.com/MyVideoClubfr/status/1448234566775447554,['https://www.facebook.com/3077130379276898'],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,[],,,,,Narcos Mexico Season 3 Trailer Netflix cinema movies series trailer,Neutral
3,6,1448232776734441480,1448151906279436292,1634120575000.0,2021-10-13 12:22:55,+0200,,@LiveLawIndia Just one sentence.  But asg claimed as I he has made drug empire. Look like asg is too much seeing narcos on netflix,en,[],[],98663558,98663558,sukumar_m,sukumar moharana,3,12,https://twitter.com/sukumar_m/status/1448232776734441480,[],[],0,,False,1,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': 'LiveLawIndia', 'name': 'Live Law', 'id': '1255161552'}]",,,,,Just one sentence But asg claimed as I he has made drug empire Look like asg is too much seeing narcos on netflix,Positive
4,7,1448228258693193734,1448228258693193734,1634119498000.0,2021-10-13 12:04:58,+0200,,toto.. Narcos: Mexico | Season 3 Trailer | Netflix  https://t.co/B5QUFgXs8I,en,[],[],109344695,109344695,romanpastierik,røman,3,12,https://twitter.com/romanpastierik/status/1448228258693193734,['https://youtu.be/hhZBDO0CKJo'],[],0,,False,1,0,0,,"['Narcos', 'Netflix']",,,,,,,[],,,,,toto Narcos Mexico Season 3 Trailer Netflix,Neutral
5,9,1448221025368379393,1448161619716947969,1634117773000.0,2021-10-13 11:36:13,+0200,,@barandbench 😂😂😂😂😂😂 Watching Narcos on Netflix will soon be a crime in this country!,en,[],[],1325848371660087297,1325848371660087297,keyserkadadima,keyserkadadima,3,11,https://twitter.com/keyserkadadima/status/1448221025368379393,[],[],0,,False,1,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': 'barandbench', 'name': 'Bar & Bench', 'id': '67577895'}]",,,,,Watching Narcos on Netflix will soon be a crime in this country,Neutral
6,11,1448215106337263617,1447980938831351810,1634116362000.0,2021-10-13 11:12:42,+0200,,@UberFacts Game of Thrones Breaking Bad Big Bang Theory  Squid Game  Stranger Things The Handmaid’s Tale Atlanta Bojack Horseman 3%  Peaky Blinders Netflix Daredevil  Boardwalk Empire  Money Heist  The Boys  The Witcher  Narcos  South Park  Adventure Time Steven Universe  The Sopranos,en,[],[],1277622964847067147,1277622964847067147,badeodutola,Bade,3,11,https://twitter.com/badeodutola/status/1448215106337263617,[],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': 'UberFacts', 'name': 'UberFacts', 'id': '95023423'}]",,,,,Game of Thrones Breaking Bad Big Bang Theory Squid Game Stranger Things The Handmaid s Tale Atlanta Bojack Horseman 3 Peaky Blinders Netflix Daredevil Boardwalk Empire Money Heist The Boys The Witcher Narcos South Park Adventure Time Steven Universe The Sopranos,Negative
7,13,1448172127534845955,1448172127534845955,1634106115000.0,2021-10-13 08:21:55,+0200,,Narcos: Mexico | Season 3 Trailer | Netflix  https://t.co/Rosb2p8AN0 via @YouTube,en,[],[],25446454,25446454,DesperateGossip,Marco Antonio,3,08,https://twitter.com/DesperateGossip/status/1448172127534845955,['https://youtu.be/k52MCyHt3Fg'],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,[],,,,,Narcos Mexico Season 3 Trailer Netflix via,Neutral
8,14,1448170911190892546,1448026961780031492,1634105825000.0,2021-10-13 08:17:05,+0200,,@TheNarcosMexico @AlbertoAmmann @NarcosNetflix @jmyazpiik is this new?,en,[],[],1259341189238710277,1259341189238710277,Dgloria_Web,dGloria,3,08,https://twitter.com/Dgloria_Web/status/1448170911190892546,[],[],0,,False,1,0,0,,"['Narcos', 'Netflix']",,,,,,,"[{'screen_name': 'TheNarcosMexico', 'name': 'NarcosMexico', 'id': '1246755339942408193'}, {'screen_name': 'AlbertoAmmann', 'name': 'Alberto Ammann', 'id': '317701115'}, {'screen_name': 'NarcosNetflix', 'name': 'Narcos', 'id': '2984674484'}, {'screen_name': 'jmyazpiik', 'name': 'José María Yázpik', 'id': '31608313'}]",,,,,is this new,Positive
9,16,1448161245396287490,1448161245396287490,1634103521000.0,2021-10-13 07:38:41,+0200,,Black Hole Sun by @soundgarden as background music for this show.  Something sad or something big is gonna happen this season! #NarcosMexico #Soundgarden #BlackHoleSun #Netflix @netflix @NarcosNetflix   https://t.co/UiHUbacCVR,en,"['narcosmexico', 'soundgarden', 'blackholesun', 'netflix']",[],531202543,531202543,_nimishh,Nimish,3,07,https://twitter.com/_nimishh/status/1448161245396287490,['https://youtu.be/hhZBDO0CKJo'],[],0,,False,0,0,0,,"['Narcos', 'Netflix']",,,,,,,[],,,,,Black Hole Sun by as background music for this show Something sad or something big is gonna happen this season NarcosMexico Soundgarden BlackHoleSun Netflix,Negative
