,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
0,0,1448232443887202305,1448093594028363777,1634120496000.0,2021-10-13 12:21:36,+0200,,"@thebeatsalive @netflix I don't even have a Netflix subscription, but that situation makes me not want to ever have it.",en,[],[],1213503485066432512,1213503485066432512,patrixilent,Patrixilent,3,12,https://twitter.com/patrixilent/status/1448232443887202305,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'thebeatsalive', 'name': 'Manny y Los Espookis 🏳️\u200d🌈', 'id': '778278'}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': '16573941'}]",,,,,I don t even have a Netflix subscription but that situation makes me not want to ever have it,Neutral
1,1,1448232439403270144,1448232439403270144,1634120495000.0,2021-10-13 12:21:35,+0200,,so uhmm... the violet evergarden movie is on netflix... get ready to witness my emotional breakdown 😎,en,[],[],859982595949346817,859982595949346817,pringlepiece,jellyfish,3,12,https://twitter.com/pringlepiece/status/1448232439403270144,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,so uhmm the violet evergarden movie is on netflix get ready to witness my emotional breakdown,Positive
2,3,1448232429055971328,1448232429055971328,1634120492000.0,2021-10-13 12:21:32,+0200,,🌟🧴 instock now 🥬🕯  ♡ netflix 🇵🇭     31 day 𓂋 87bath  #netflixราคาถูก #NetflixTH #netflixราคาถูก #หารnetflix #หารnetflixราคาถูก #netflixหาร #เน็ตฟลิกซ์ #Netflix 541,en,"['netflixราคาถูก', 'netflixth', 'netflixราคาถูก', 'หารnetflix', 'หารnetflixราคาถูก', 'netflixหาร', 'เน็ตฟลิกซ์', 'netflix']",[],1442310708633370626,1442310708633370626,snoopypiebae,open|แจกในพิน,3,12,https://twitter.com/snoopypiebae/status/1448232429055971328,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,instock now netflix 31 day 87bath netflix NetflixTH netflix netflix netflix netflix Netflix 541,Neutral
3,4,1448232428124921858,1448148363350839296,1634120492000.0,2021-10-13 12:21:32,+0200,,@itsreeaaa listen to netflix and watch cloy and iotnbo @ u,en,[],[],1075059811904045064,1075059811904045064,shmshiim,Shamiram ama homecha,3,12,https://twitter.com/shmshiim/status/1448232428124921858,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'itsreeaaa', 'name': 'Reea✨', 'id': '1301202565993041922'}]",,,,,listen to netflix and watch cloy and iotnbo u,Neutral
4,8,1448232421963489283,1448179804860207111,1634120490000.0,2021-10-13 12:21:30,+0200,,@Da_sarmast youtube twitter netflix,en,[],[],1278639016599003136,1278639016599003136,MissChwdry,ツمــــــــر یـــــــم,3,12,https://twitter.com/MissChwdry/status/1448232421963489283,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'Da_sarmast', 'name': 'Sheikhoo', 'id': '3150039560'}]",,,,,sarmast youtube twitter netflix,Neutral
5,16,1448232404422774784,1448232404422774784,1634120486000.0,2021-10-13 12:21:26,+0200,,🌟🧴 instock now 🥬🕯  ♡ netflix 🇵🇭     31 day 𓂋 87bath  #netflixราคาถูก #NetflixTH #netflixราคาถูก #หารnetflix #หารnetflixราคาถูก #netflixหาร #เน็ตฟลิกซ์ #Netflix 540,en,"['netflixราคาถูก', 'netflixth', 'netflixราคาถูก', 'หารnetflix', 'หารnetflixราคาถูก', 'netflixหาร', 'เน็ตฟลิกซ์', 'netflix']",[],1442310708633370626,1442310708633370626,snoopypiebae,open|แจกในพิน,3,12,https://twitter.com/snoopypiebae/status/1448232404422774784,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,instock now netflix 31 day 87bath netflix NetflixTH netflix netflix netflix netflix Netflix 540,Neutral
6,20,1448232400304152580,1448202768574033920,1634120485000.0,2021-10-13 12:21:25,+0200,,@imyourwhale01 Netflix or dinner : Dinner  kiss or hug : hug  baby or daddy  : baby  challenge or up to you :up to you,en,[],[],1360437548800040964,1360437548800040964,lelunexmoon,ลูกจันทร์🌙,3,12,https://twitter.com/lelunexmoon/status/1448232400304152580,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'imyourwhale01', 'name': 'wh', 'id': '1324375837785776129'}]",,,,,Netflix or dinner Dinner kiss or hug hug baby or daddy baby challenge or up to you up to you,Neutral
7,25,1448232383191429120,1448120581879173125,1634120481000.0,2021-10-13 12:21:21,+0200,,@tvasahi_thai Outside Asia too pls @netflix @NetflixLAT,en,[],[],264924983,264924983,meelydchan,Meely misses 嵐☁️,3,12,https://twitter.com/meelydchan/status/1448232383191429120,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'tvasahi_thai', 'name': 'テレビ朝日 泰流 タイ コンテンツ TV Asahi（テレ朝 公式）', 'id': '1331827081940926465'}]",,,,,thai Outside Asia too pls,Neutral
8,30,1448232377981964294,1448232377981964294,1634120480000.0,2021-10-13 12:21:20,+0200,,🌟🧴 instock now 🥬🕯  ♡ netflix 🇵🇭     31 day 𓂋 87bath  #netflixราคาถูก #NetflixTH #netflixราคาถูก #หารnetflix #หารnetflixราคาถูก #netflixหาร #เน็ตฟลิกซ์ #Netflix 539,en,"['netflixราคาถูก', 'netflixth', 'netflixราคาถูก', 'หารnetflix', 'หารnetflixราคาถูก', 'netflixหาร', 'เน็ตฟลิกซ์', 'netflix']",[],1442310708633370626,1442310708633370626,snoopypiebae,open|แจกในพิน,3,12,https://twitter.com/snoopypiebae/status/1448232377981964294,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,instock now netflix 31 day 87bath netflix NetflixTH netflix netflix netflix netflix Netflix 539,Neutral
9,32,1448232363603861505,1448232363603861505,1634120476000.0,2021-10-13 12:21:16,+0200,,"not mad and not at all surprised, 그냥 disappointed.. netflix always left out Mr. Sunshine........................... whEN THE DRAMA IS ONE OF THE FIRST ONE THEY INVESTED IN. DURING THAT TIME, THERE'S NO THESE SWOON-WORTHY THINGY YET, JUST A VERY SIMPLE NETFLIX IV LOL LOL LOL",en,[],[],1376129188684439555,1376129188684439555,syazasyz,샤자,3,12,https://twitter.com/syazasyz/status/1448232363603861505,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,not mad and not at all surprised disappointed netflix always left out Mr Sunshine whEN THE DRAMA IS ONE OF THE FIRST ONE THEY INVESTED IN DURING THAT TIME THERE S NO THESE SWOON WORTHY THINGY YET JUST A VERY SIMPLE NETFLIX IV LOL LOL LOL,Positive
10,36,1448232359820611589,1448232359820611589,1634120476000.0,2021-10-13 12:21:16,+0200,,"Am I the only one who's internet sucks, YouTube works pero ang Netflix and Spotify wala?? Orrrrr",en,[],[],281891950,281891950,ERLINthemorning,erls,3,12,https://twitter.com/ERLINthemorning/status/1448232359820611589,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,Am I the only one who s internet sucks YouTube works pero ang Netflix and Spotify wala Orrrrr,Negative
11,39,1448232347774619648,1448202768574033920,1634120473000.0,2021-10-13 12:21:13,+0200,,@wen_nxx Netflix or dinner : Netflix  kiss or hug : hug  baby or daddy  : baby  challenge or up to you :up to you,en,[],[],1360437548800040964,1360437548800040964,lelunexmoon,ลูกจันทร์🌙,3,12,https://twitter.com/lelunexmoon/status/1448232347774619648,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'wen_nxx', 'name': '文', 'id': '1410282036070285317'}]",,,,,nxx Netflix or dinner Netflix kiss or hug hug baby or daddy baby challenge or up to you up to you,Neutral
12,40,1448232343672590337,1448178323092164610,1634120472000.0,2021-10-13 12:21:12,+0200,,"@loyaIGGs @conspiirebtw @undercoverdudes Ye idk I watch a decent amount of Netflix and I haven't seen alot of these kinds of ""I want money so I'm going to do something dumb"" shows",en,[],[],1079355601375952896,1079355601375952896,ItsBl1nk,Bl1nk,3,12,https://twitter.com/ItsBl1nk/status/1448232343672590337,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'loyaIGGs', 'name': 'loyal', 'id': '1286013995099594753'}, {'screen_name': 'conspiirebtw', 'name': 'v1 Worldwide 🎃', 'id': '1154783644562722817'}, {'screen_name': 'undercoverdudes', 'name': 'ucd', 'id': '426422454'}]",,,,,Ye idk I watch a decent amount of Netflix and I haven t seen alot of these kinds of I want money so I m going to do something dumb shows,Negative
13,41,1448232343596982273,1448232343596982273,1634120472000.0,2021-10-13 12:21:12,+0200,,🌟🧴 instock now 🥬🕯  ♡ netflix 🇵🇭     31 day 𓂋 87bath  #netflixราคาถูก #NetflixTH #netflixราคาถูก #หารnetflix #หารnetflixราคาถูก #netflixหาร #เน็ตฟลิกซ์ #Netflix 538,en,"['netflixราคาถูก', 'netflixth', 'netflixราคาถูก', 'หารnetflix', 'หารnetflixราคาถูก', 'netflixหาร', 'เน็ตฟลิกซ์', 'netflix']",[],1442310708633370626,1442310708633370626,snoopypiebae,open|แจกในพิน,3,12,https://twitter.com/snoopypiebae/status/1448232343596982273,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,instock now netflix 31 day 87bath netflix NetflixTH netflix netflix netflix netflix Netflix 538,Neutral
14,48,1448232327188926471,1447886339509297153,1634120468000.0,2021-10-13 12:21:08,+0200,,@NetflixUK @netflix Marble game😂,en,[],[],1405772107049361411,1405772107049361411,DIVYESH27509692,DIVYESH,3,12,https://twitter.com/DIVYESH27509692/status/1448232327188926471,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'NetflixUK', 'name': 'Netflix UK & Ireland', 'id': '231183280'}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': '16573941'}]",,,,,Marble game,Negative
15,59,1448232310034272260,1448232310034272260,1634120464000.0,2021-10-13 12:21:04,+0200,,We now watch Tesla completely take German motors to a place of total irrelevance.  What Netflix did to Nu Metro  What Takealot did to Game.  What DSTV did to SABC.  What __ did to __ (fill in the blank).,en,[],[],2754954973,2754954973,retailandrew,Andrew Molokoe,3,12,https://twitter.com/retailandrew/status/1448232310034272260,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,We now watch Tesla completely take German motors to a place of total irrelevance What Netflix did to Nu Metro What Takealot did to Game What DSTV did to SABC What did to fill in the blank,Negative
16,62,1448232306657931273,1447937510735286285,1634120463000.0,2021-10-13 12:21:03,+0200,,@JoewackleGh @bosanskigrad would love a reboot of this for @netflix,en,[],[],482907491,482907491,sighchels,Chelly.,3,12,https://twitter.com/sighchels/status/1448232306657931273,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'JoewackleGh', 'name': 'wackle.', 'id': '403449484'}, {'screen_name': 'bosanskigrad', 'name': 'ESJ', 'id': '469276914'}]",,,,,would love a reboot of this for,Positive
17,67,1448232300290904065,1448232300290904065,1634120461000.0,2021-10-13 12:21:01,+0200,,"I want to know more about #SquidGame! @RyanEldredgeTV is watching it and I'm told @KnightCBS21 is about to start. #NEW this morning, It's now @netflix's biggest launch of all time! Apparently the South Korean hit has been viewed by 111 million accounts since debuting last month.",en,"['squidgame', 'new']",[],562608064,562608064,CandaceScalese,Candace Scalese,3,12,https://twitter.com/CandaceScalese/status/1448232300290904065,[],[],0,,False,1,0,0,,Netflix,,,,,,,[],,,,,I want to know more about SquidGame is watching it and I m told is about to start NEW this morning It s now s biggest launch of all time Apparently the South Korean hit has been viewed by 111 million accounts since debuting last month,Positive
18,68,1448232296398553089,1448227046077960195,1634120460000.0,2021-10-13 12:21:00,+0200,,@SquidgeRugby they added it to NZ Netflix like last week 😂 that’s probably why,en,[],[],817636988039761920,817636988039761920,cronieees,Cronies,3,12,https://twitter.com/cronieees/status/1448232296398553089,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'SquidgeRugby', 'name': 'Squidge Rugby', 'id': '956620307602857986'}]",,,,,they added it to NZ Netflix like last week that s probably why,Neutral
19,71,1448232295924740102,1448202768574033920,1634120460000.0,2021-10-13 12:21:00,+0200,,@15ATXDARKZED Netflix or dinner : Netflix  kiss or hug : hug  baby or daddy  : Daddy  challenge or up to you :up to you,en,[],[],1360437548800040964,1360437548800040964,lelunexmoon,ลูกจันทร์🌙,3,12,https://twitter.com/lelunexmoon/status/1448232295924740102,[],[],0,,False,1,0,0,,Netflix,,,,,,,"[{'screen_name': '15ATXDARKZED', 'name': '𝐀𝐑𝐊𝐇𝐄𝐃', 'id': '1412952409098264578'}]",,,,,Netflix or dinner Netflix kiss or hug hug baby or daddy Daddy challenge or up to you up to you,Neutral
20,83,1448232279852167168,1448232279852167168,1634120457000.0,2021-10-13 12:20:57,+0200,,Netflix’s ‘Squid Game’ Is Slammed by Kim Jong Un’s Propagandists as ‘Beastly’ - WSJ $NFLX  https://t.co/trlBIEZJZz,en,[],['nflx'],232350657,232350657,TEAMHONZILLA,HONZILLA,3,12,https://twitter.com/TEAMHONZILLA/status/1448232279852167168,['https://www.wsj.com/articles/netflixs-squid-game-is-slammed-by-kim-jong-uns-propagandists-as-beastly-11634116531'],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,Netflix s Squid Game Is Slammed by Kim Jong Un s Propagandists as Beastly WSJ NFLX,Negative
21,85,1448232276244848646,1431143287184756744,1634120456000.0,2021-10-13 12:20:56,+0200,,34. netflix sharing 7 hari  https://t.co/0G2IDvfq6O,en,[],[],1430493903124262913,1430493903124262913,chestby,zoura♡,3,12,https://twitter.com/chestby/status/1448232276244848646,[],['https://pbs.twimg.com/media/FBknkkuVIAAixwM.jpg'],1,https://pbs.twimg.com/media/FBknkkuVIAAixwM.jpg,False,0,1,0,,Netflix,,,,,,,[],,,,,34 netflix sharing 7 hari,Neutral
22,95,1448232251704049665,1448232251704049665,1634120450000.0,2021-10-13 12:20:50,+0200,,Last 2 solo and 1 shared.  ONHAND VIU 3 MONTHS. PH BASED! DM TO AVAIL 😇  📍 no rush orders pls 📍 always ask for availability  🧷 lf looking for cheap netflix nf grammarly quizlet spotify youtube premium canva shared solo bartleby scribd coursehero quillbot,en,[],[],1440300038152867840,1440300038152867840,jedprems2,jedprems || nf available || open,3,12,https://twitter.com/jedprems2/status/1448232251704049665,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,Last 2 solo and 1 shared ONHAND VIU 3 MONTHS PH BASED DM TO AVAIL no rush orders pls always ask for availability lf looking for cheap netflix nf grammarly quizlet spotify youtube premium canva shared solo bartleby scribd coursehero quillbot,Positive
23,98,1448232248537325568,1448232248537325568,1634120449000.0,2021-10-13 12:20:49,+0200,,NETFLIX WHAT DID U DO TO VIOLET OMG  https://t.co/LZZdVHXnhD,en,[],[],1413691866969632772,1413691866969632772,sayuruns,rae’s ♡ itto,3,12,https://twitter.com/sayuruns/status/1448232248537325568,[],['https://pbs.twimg.com/media/FBknhPKVUAAXyEo.jpg'],1,https://pbs.twimg.com/media/FBknhPKVUAAXyEo.jpg,False,0,0,0,,Netflix,,,,,,,[],,,,,NETFLIX WHAT DID U DO TO VIOLET OMG,Neutral
24,103,1448232241054863367,1448202768574033920,1634120447000.0,2021-10-13 12:20:47,+0200,,@SeInver Netflix or dinner : Netflix  kiss or hug : hug  baby or daddy  : baby  challenge or up to you :up to you,en,[],[],1360437548800040964,1360437548800040964,lelunexmoon,ลูกจันทร์🌙,3,12,https://twitter.com/lelunexmoon/status/1448232241054863367,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'SeInver', 'name': 'นายท่าน. |อ่านหนังสือ', 'id': '1189913430888632321'}]",,,,,Netflix or dinner Netflix kiss or hug hug baby or daddy baby challenge or up to you up to you,Neutral
25,109,1448232225510617089,1448232225510617089,1634120444000.0,2021-10-13 12:20:44,+0200,,Itsay on Netflix when??,en,[],[],1364471866312716292,1364471866312716292,viptoanyone59,Dovee,3,12,https://twitter.com/viptoanyone59/status/1448232225510617089,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,Itsay on Netflix when,Neutral
26,112,1448232214576054275,1448232214576054275,1634120441000.0,2021-10-13 12:20:41,+0200,,jual premium apps  netflix spotify apple music viu youtube disney+ hotstar hbo go amazon prime video canva pro wetv/iflix vidio premier picsart gold office 365  t. ready garansi vip murah perpanjang langganan ios ms lifetime sharing private android edexh,en,[],[],1430521924556263426,1430521924556263426,edxmame,asa.,3,12,https://twitter.com/edxmame/status/1448232214576054275,[],[],0,,False,0,0,0,https://twitter.com/edxmame/status/1439960907526787074,Netflix,,,,,,,[],,,,,jual premium apps netflix spotify apple music viu youtube disney hotstar hbo go amazon prime video canva pro wetv iflix vidio premier picsart gold office 365 t ready garansi vip murah perpanjang langganan ios ms lifetime sharing private android edexh,Positive
27,117,1448232208624275461,1448232208624275461,1634120440000.0,2021-10-13 12:20:40,+0200,,drop orders na po!   🏷️ spotify yt canva premium viu hbo youtube tidal grammarly disney crunchyroll ms 365 microsoft picsart bartleby iwant lfb lf wtb cheap premium accounts spotify affordable canva pro disney picsart netflix mura unlock scribd chegg mathway skillshare,en,[],[],738720605369827328,738720605369827328,httpeachie,online 💌,3,12,https://twitter.com/httpeachie/status/1448232208624275461,[],[],0,,False,0,0,0,https://twitter.com/httpeachie/status/1447487995687276553,Netflix,,,,,,,[],,,,,drop orders na po spotify yt canva premium viu hbo youtube tidal grammarly disney crunchyroll ms 365 microsoft picsart bartleby iwant lfb lf wtb cheap premium accounts spotify affordable canva pro disney picsart netflix mura unlock scribd chegg mathway skillshare,Positive
28,123,1448232180862394369,1448202768574033920,1634120433000.0,2021-10-13 12:20:33,+0200,,@k_peachx Netflix or dinner : Netflix  kiss or hug : hug  baby or daddy  : baby  challenge or up to you :up to you,en,[],[],1360437548800040964,1360437548800040964,lelunexmoon,ลูกจันทร์🌙,3,12,https://twitter.com/lelunexmoon/status/1448232180862394369,[],[],0,,False,0,0,0,,Netflix,,,,,,,"[{'screen_name': 'k_peachx', 'name': '𝚙𝚎𝚊𝚌𝚑✨', 'id': '1395008705079353353'}]",,,,,peachx Netflix or dinner Netflix kiss or hug hug baby or daddy baby challenge or up to you up to you,Neutral
29,126,1448232174411517955,1448232174411517955,1634120431000.0,2021-10-13 12:20:31,+0200,,"Hot taek: Netflix is bad!  Media standards have collapsed and all the shows, on all the platforms, are at their best B+ swill.",en,[],[],65060517,65060517,SNOboston,Ryan Cole,3,12,https://twitter.com/SNOboston/status/1448232174411517955,[],[],0,,False,0,0,0,https://twitter.com/thestalwart/status/1448212664119857153,Netflix,,,,,,,[],,,,,Hot taek Netflix is bad Media standards have collapsed and all the shows on all the platforms are at their best B swill,Positive
30,127,1448232168916979714,1448232168916979714,1634120430000.0,2021-10-13 12:20:30,+0200,,YOU back on Netflix this Friday ! Can’t wait,en,[],[],967016606126804992,967016606126804992,steffhawk08,Stefan.,3,12,https://twitter.com/steffhawk08/status/1448232168916979714,[],[],0,,False,0,0,0,,Netflix,,,,,,,[],,,,,YOU back on Netflix this Friday Can t wait,Neutral
