,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
0,1,1448221859313590274,1448221859313590274,1634117972000.0,2021-10-13 11:39:32,+0200,,"Ngl I would have assumed something more family friendly would have be Netflix’s biggest launch ever. Stranger things makes sense, I’m kinda surprised by Squid Game.",en,[],[],1177295541367115780,1177295541367115780,BollingerBeans,🃏 Beans 🃏,3,11,https://twitter.com/BollingerBeans/status/1448221859313590274,[],[],0,,False,6,2,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Ngl I would have assumed something more family friendly would have be Netflix s biggest launch ever Stranger things makes sense I m kinda surprised by Squid Game,Positive
1,2,1448215106337263617,1447980938831351810,1634116362000.0,2021-10-13 11:12:42,+0200,,@UberFacts Game of Thrones Breaking Bad Big Bang Theory  Squid Game  Stranger Things The Handmaid’s Tale Atlanta Bojack Horseman 3%  Peaky Blinders Netflix Daredevil  Boardwalk Empire  Money Heist  The Boys  The Witcher  Narcos  South Park  Adventure Time Steven Universe  The Sopranos,en,[],[],1277622964847067147,1277622964847067147,badeodutola,Bade,3,11,https://twitter.com/badeodutola/status/1448215106337263617,[],[],0,,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,"[{'screen_name': 'UberFacts', 'name': 'UberFacts', 'id': '95023423'}]",,,,,Game of Thrones Breaking Bad Big Bang Theory Squid Game Stranger Things The Handmaid s Tale Atlanta Bojack Horseman 3 Peaky Blinders Netflix Daredevil Boardwalk Empire Money Heist The Boys The Witcher Narcos South Park Adventure Time Steven Universe The Sopranos,Negative
2,4,1448212848723832832,1448212848723832832,1634115824000.0,2021-10-13 11:03:44,+0200,,"🎬 Netflix’in en çok izlenen 10 dizisi:  1- Squid Game, 110 milyon 2- Bridgerton, 82M 3- Lupin, 76M 4- The Witcher, 76M 5- Sex/Life, 67M 6- Stranger Things S3, 67M 7- La Casa de Papel S4, 65M 8- Tiger King, 64M 9- The Queen’s Gambit, 62M 10- Sweet Tooth, 60M  https://t.co/AT5qz91dMe",en,[],[],1409105171083366400,1409105171083366400,cizgikafecom,Çizgi Kafe,3,11,https://twitter.com/cizgikafecom/status/1448212848723832832,[],['https://pbs.twimg.com/media/FBkV5-lWQAA6eCc.jpg'],1,https://pbs.twimg.com/media/FBkV5-lWQAA6eCc.jpg,False,21,2,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Netflix in en ok izlenen 10 dizisi 1 Squid Game 110 milyon 2 Bridgerton 82M 3 Lupin 76M 4 The Witcher 76M 5 Sex Life 67M 6 Stranger Things S3 67M 7 La Casa de Papel S4 65M 8 Tiger King 64M 9 The Queen s Gambit 62M 10 Sweet Tooth 60M,Positive
3,6,1448197038579990529,1448195104997404674,1634112054000.0,2021-10-13 10:00:54,+0200,,"Ya'll could have done this with GoT, Stranger Things, and Squid Games. Single-handedly reviving the cinema business through Netflix Gold Cinema passes, making extra multi-millions. An additional incentive could be that cinema's air eps a day before they stream. @Netflix @HBO",en,[],[],840917576,840917576,DarthMadV,ɱɑɗʋ,3,10,https://twitter.com/DarthMadV/status/1448197038579990529,[],[],0,,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Ya ll could have done this with GoT Stranger Things and Squid Games Single handedly reviving the cinema business through Netflix Gold Cinema passes making extra multi millions An additional incentive could be that cinema s air eps a day before they stream,Negative
4,7,1448196291079593988,1448196291079593988,1634111876000.0,2021-10-13 09:57:56,+0200,,"Squid Game, Stranger Things, and Other Netflix Merch Coming to Walmart  https://t.co/7XbF7CECQ2",en,[],[],3345631829,3345631829,SoMovies,So Many Movies,3,09,https://twitter.com/SoMovies/status/1448196291079593988,['https://ift.tt/3BwJFcG'],[],0,,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Squid Game Stranger Things and Other Netflix Merch Coming to Walmart,Negative
5,9,1448184659708297219,1448184659708297219,1634109103000.0,2021-10-13 09:11:43,+0200,,"@AprilBecher @LGDIB So many potentially great new shows are premiering next year. #HouseoftheDragon on HBO Max, #TheSandman on Netflix &amp; #LOTRonPrime Amazon Prime. Not to mention some great returning shows coming back next year like Bridgerton, Stranger Things, The Witcher, etc",en,"['houseofthedragon', 'thesandman', 'lotronprime']",[],47905345,47905345,dazzlegal,Katrina 🕊️🌸🛡️,3,09,https://twitter.com/dazzlegal/status/1448184659708297219,[],[],0,,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,So many potentially great new shows are premiering next year HouseoftheDragon on HBO Max TheSandman on Netflix amp LOTRonPrime Amazon Prime Not to mention some great returning shows coming back next year like Bridgerton Stranger Things The Witcher etc,Positive
6,10,1448184306464174084,1448184306464174084,1634109019000.0,2021-10-13 09:10:19,+0200,,"Squid Game, Stranger Things, and Other Netflix Merch Coming to Walmart  https://t.co/WfiDCTIBu4",en,[],[],953515712919859205,953515712919859205,Knight_Melody1,Melody Knight,3,09,https://twitter.com/Knight_Melody1/status/1448184306464174084,['https://ift.tt/3BwJFcG'],[],0,,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Squid Game Stranger Things and Other Netflix Merch Coming to Walmart,Negative
7,12,1448172442099372036,1448046853728227330,1634106190000.0,2021-10-13 08:23:10,+0200,,"@DeadByErika I feel like after Stranger Things, dbd may try to stay away from netflix deals…",en,[],[],1031736187185246208,1031736187185246208,ikusunami,Ikusunami,3,08,https://twitter.com/ikusunami/status/1448172442099372036,[],[],0,,False,1,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,"[{'screen_name': 'DeadByErika', 'name': 'Erika🦋🌈', 'id': '1119964992210657281'}]",,,,,I feel like after Stranger Things dbd may try to stay away from netflix deals,Neutral
8,13,1448170327255752704,1448170327255752704,1634105686000.0,2021-10-13 08:14:46,+0200,,"Netflix has partnered with Walmart to sell merchandise inspired by its most popular original series, such as Squid Game and Stranger Things.  #Netflix #Netflixupdates #SquidGame #Usa #Uk #Canada #Australia   https://t.co/aRxZdoZwrW  https://t.co/Quu531c3J0",en,"['netflix', 'netflixupdates', 'squidgame', 'usa', 'uk', 'canada', 'australia']",[],1258778366921936896,1258778366921936896,itechbrand,Itechbrand,3,08,https://twitter.com/itechbrand/status/1448170327255752704,['https://itechbrand.com/netflix-taps-walmart-to-sell-merchandise-for-squid-game-and-other-hits/'],['https://pbs.twimg.com/media/FBjvPPyXsAMHMDB.png'],1,https://pbs.twimg.com/media/FBjvPPyXsAMHMDB.png,False,0,0,0,,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,Netflix has partnered with Walmart to sell merchandise inspired by its most popular original series such as Squid Game and Stranger Things Netflix Netflixupdates SquidGame Usa Uk Canada Australia,Positive
9,14,1448169756582981637,1448169756582981637,1634105550000.0,2021-10-13 08:12:30,+0200,,this is an interesting theory but stranger things episode titles are also chapters i think it’s just a netflix thing,en,[],[],1307535090730373120,1307535090730373120,seaflwrs,el ✡︎,3,08,https://twitter.com/seaflwrs/status/1448169756582981637,[],[],0,,False,0,0,0,https://twitter.com/bonniesdiaries/status/1448088479636803584,"['Stranger', 'Things', 'Netflix']",,,,,,,[],,,,,this is an interesting theory but stranger things episode titles are also chapters i think it s just a netflix thing,Positive
